"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"C","O'Neill, Steve R  ","$2,296,000","7600",".222",".298",".315","54.9","62.3","10.8","23.3","331.9",".520","7.82","507.6","27.9","41.3","Fr","Fr",".228",".310",".343","47.1",".218",".289",".293","85.7","4","Vg",  
"C, 1B, LF","Oliver, Gene R  ","$2,292,000","28036",".229",".300",".380","66.0","31.0","10.9","19.8","228.8",".555","6.22","298.5","24.0","38.7","Fr","Fr",".244",".328",".403","29.2",".219",".282",".364","32.1","6","Av",  
"C","Essian, Jim R  ","$2,290,000","3381",".234",".311",".326","60.8","70.4","10.2","21.8","294.5",".542","11.8","319.0","26.8","43.5","Fr","Fr",".234",".299",".328","63.9",".234",".316",".326","73.4","3","Av",  
"C","Herrmann, Ed L  ","$2,284,000","13991",".230",".289",".348","57.5","41.4","13.6","24.2","1182.9",".419","9.28","265.1","29.6","39.4","Pr","Pr",".191",".239",".260","80.3",".233",".294",".356","39.3","7","Av",  
"C","Miller, Damian R  ","$2,275,000","7050",".246",".305",".356","60.8","65.3","12.9","16.7","1551.6",".556","5.40","267.5","19.8","31.0","Fr","Pr",".253",".311",".358","68.5",".242",".302",".354","63.7","3","Av",  
"C","Hodges, Ron L  ","$2,254,000","19410",".230",".323",".307","61.2","88.6","8.34","25.0","226.0",".516","7.31","334.0","31.5","46.0","Pr","Fr",".235",".331",".327","60.9",".228",".321",".299","106.6","4","Av",  
"C, 1B, 2B, 3B","Peitz, Heinie R  ","$2,253,000","6266",".230",".301",".346","61.8","55.5","10.9","18.9","101.6",".651","7.35","129.8","25.3","49.0","Av","Av",".243",".311",".369","47.2",".215",".290",".319","69.4","4","Av",  
"C","Hanigan, Ryan R  ","$2,250,000","8106",".242",".327",".294","60.0","158.9","9.56","32.8","3088.7",".500","15.8","545.1","40.3","42.5","Pr","Pr",".248",".341",".320","95.7",".236",".314",".267","498.6","3","Vg",  
"C","Azcue, Joe R  ","$2,248,000","13028",".252",".297",".322","53.7","125.3","16.6","24.4","739.1",".576","9.66","206.5","30.2","36.8","Pr","Pr",".270",".322",".356","94.6",".238",".279",".296","179.7","5","Vg",  
"C","Rosar, Buddy R  ","$2,223,000","9561",".249",".305",".314","55.7","138.6","13.6","24.4","233.9",".570","10.4","438.6","28.6","43.0","Fr","Fr",".249",".310",".306","180.4",".249",".302",".319","124.6","2","Vg",  
"C","Webster, Lenny R  ","$2,218,000","5872",".253",".319",".346","62.9","72.5","11.6","22.0","3260.5",".250","11.8","181.1","28.2","29.8","Pr","Pr",".263",".328",".368","61.3",".225",".291",".284","167.2","3","Fr",  
"C, LF, RF","Harper, Brian R  ","$2,206,000","16188",".271",".305",".375","63.8","66.6","27.0","19.0","249.2",".543","22.1","168.6","23.0","32.8","Fr","Fr",".274",".303",".381","69.6",".268",".306",".369","64.5","5","Fr",  
"C, 3B","Smith, Hal W. R  ","$2,173,000","16275",".256",".303",".367","62.5","62.1","16.3","17.2","1100.4",".615","7.54","262.8","20.0","33.5","Fr","Pr",".252",".298",".361","61.7",".258",".306",".370","62.7","6","Av",  
"C","Nolan, Joe L  ","$2,153,000","18232",".250",".323",".340","66.1","90.3","10.5","20.7","255.0",".559","9.14","136.9","27.9","46.8","Fr","Fr",".234",".293",".294","253.5",".254",".329",".348","80.7","6","Pr",  
"C","Walker, Fleet R  ","$2,152,000","15599",".247",".324",".306","60.6","101.3","12.7","41.3","83.7",".622","7.06","202.9","60.7","47.5","Av","Av",".250",".332",".311","77.0",".244",".317",".302","146.8","5","Av",  
"C, LF, RF","Padgett, Don L  ","$2,148,000","8604",".260",".304",".383","67.1","49.7","16.6","17.7","1544.0",".500","9.34","178.2","21.3","41.7","Fr","Pr",".248",".292",".344","80.1",".262",".307",".390","46.4","6","Fr",  
"C","Yeager, Steve R  ","$2,147,000","9208",".221",".285",".352","56.9","39.9","12.8","21.1","260.6",".565","5.61","125.5","28.6","39.1","Fr","Fr",".236",".305",".381","36.2",".208",".268",".325","45.2","3","Vg",  
"C","Ashby, Alan S  ","$2,099,000","11530",".228",".299",".328","56.5","56.2","11.0","23.4","1077.8",".667","7.40","331.6","28.6","36.5","Fr","Pr",".211",".270",".282","79.6",".231",".304",".336","53.0","5","Av",  
"C","Wagner, Hal L  ","$2,060,000","6403",".227",".313",".313","60.8","97.0","9.28","19.6","317.2",".639","8.98","280.6","24.2","57.9","Vg","Pr",".173",".238",".207",".000",".232",".320",".323","88.2","4","Av",  
"C","Rodgers, Buck S  ","$2,056,000","13155",".230",".280",".299","47.0","173.1","16.4","23.0","219.0",".631","9.15","135.6","30.5","46.1","Pr","Fr",".206",".255",".245","1411.5",".237",".286",".314","138.2","3","Vg",  
"C","Davis, Jody R  ","$2,054,000","14666",".224",".286",".353","56.5","35.3","12.6","23.9","1151.5",".609","5.71","424.2","28.0","33.4","Pr","Pr",".224",".281",".365","29.6",".225",".291",".349","38.8","5","Av",  
"C","Hegan, Jim R  ","$2,054,000","9973",".218",".268",".317","47.7","69.3","15.8","21.6","834.4",".520","5.88","117.9","29.3","51.9","Fr","Pr",".223",".271",".329","63.5",".215",".266",".309","74.1","3","Vg",  
"C","Warner, John L  ","$2,038,000","12523",".227",".285",".303","49.1","80.3","16.4","30.0","111.4",".572","7.93","228.3","38.4","49.3","Av","Av",".204",".265",".254","145.2",".230",".287",".310","74.9","3","Vg",  
"C","Masi, Phil R  ","$2,029,000","6487",".243",".313",".340","61.5","80.1","11.1","19.5","292.4",".610","7.77","143.4","25.9","32.9","Fr","Fr",".252",".323",".354","85.6",".237",".306",".331","77.0","3","Av",  
"C","Ott, Ed L  ","$2,028,000","9111",".239",".292",".335","56.4","61.1","14.7","24.2","397.0",".532","8.33","202.6","30.3","48.4","Pr","Fr",".238",".273",".319","92.1",".240",".294",".337","58.4","4","Av",  
"C","Foiles, Hank R  ","$2,004,000","12722",".230",".296",".363","63.0","35.4","11.5","23.2","4692.3",".429","5.16","192.8","29.6","48.9","Pr","Pr",".233",".304",".365","36.7",".229",".291",".368","33.2","5","Av",  
"C","Rariden, Bill R  ","$2,000,000","3566",".222",".303",".296","55.8","84.9","9.62","27.2","96.9",".764","7.32","581.1","32.8","58.1","Vg","Fr",".233",".323",".320","71.5",".212",".285",".275","101.1","3","Av",  
"C","Bemis, Harry R  ","$1,940,000","7413",".254",".298",".356","61.9","68.6","19.5","19.6","277.5",".527","7.68","141.2","25.0","54.4","Fr","Fr",".252",".295",".359","59.3",".255",".300",".355","80.0","7","Av",  
"C","Phelps, Ed R  ","$1,922,000","8253",".243",".316",".343","65.4","54.7","11.5","25.9","133.1",".667","7.69","160.6","35.7","46.1","Fr","Av",".245",".321",".342","64.4",".240",".311",".344","46.5","5","Av",  
"C","Wilson, Red R  ","$1,921,000","3805",".252",".317",".329","61.5","190.2","11.8","17.7","170.5",".556","10.4","213.1","21.9","38.4","Fr","Fr",".253",".318",".332","212.4",".251",".317",".327","178.3","4","Av",  
"C","Oates, Johnny L  ","$1,917,000","15147",".233",".282",".289","46.9","182.5","15.4","26.6","351.3",".484","13.0","412.8","31.2","56.0","Pr","Fr",".226",".277",".262","289.6",".233",".283",".294","170.6","4","Vg",  
"C","Mayne, Brent L  ","$1,889,000","7995",".250",".312",".301","54.2","499.7","12.0","24.4","423.7",".600","9.81","278.0","30.1","34.5","Fr","Fr",".205",".272",".235","803.0",".256",".318",".309","461.5","2","Av",  
"C","Haselman, Bill R  ","$1,887,000","13723",".252",".304",".370","62.4","54.7","14.1","18.0","382.6",".481","8.57","127.5","23.2","29.7","Fr","Fr",".264",".321",".393","49.2",".224",".264",".323","70.6","5","Fr",  
"C","Torrealba, Yorvit R  ","$1,870,000","4596",".227",".283",".296","45.4","176.8","14.2","21.3","212.0",".649","8.15","195.7","26.8","31.2","Pr","Fr",".242",".302",".317","192.5",".216",".269",".281","166.9","2","Av",  
"C","Navarro, Dioner S  ","$1,857,000","14273",".247",".305",".330","58.1","82.0","13.0","24.0","285.9",".505","12.6","224.6","30.0","38.6","Fr","Fr",".255",".322",".360","61.7",".242",".292",".310","105.6","3","Av",  
"C","LaRue, Jason R  ","$1,838,000","9356",".229",".300",".357","62.3","45.0","14.3","19.2","1307.8",".500","4.76","123.1","26.0","41.0","Pr","Pr",".225",".292",".347","44.6",".233",".305",".364","45.2","5","Vg",  
"C","Borgmann, Glenn R  ","$1,803,000","7345",".216",".314",".294","57.2","122.4","8.09","21.9","4254.5",".400","7.94","154.7","30.4","45.3","Pr","Pr",".221",".317",".301","145.2",".212",".311",".288","107.2","2","Fr",  
"C","Healy, Fran R  ","$1,796,000","7549",".228",".314",".331","62.4","60.9","9.05","21.4","1071.9",".727","6.30","175.0","28.2","43.5","Pr","Pr",".241",".325",".354","52.6",".208",".295",".293","82.9","4","Av",  
"C","Edwards, Bruce R  ","$1,794,000","6541",".242",".311",".360","65.0","53.2","11.2","20.3","270.3",".587","7.89","92.4","29.9","35.8","Fr","Fr",".241",".313",".367","55.7",".237",".303",".347","50.1","5","Av",  
"C","Fletcher, Darrin L  ","$1,788,000","3893",".248",".296",".350","59.9","59.9","17.2","21.5","1052.2",".800","14.6","191.3","26.5","43.4","Pr","Pr",".256",".298",".348","80.4",".246",".295",".351","56.6","2","Fr",  
"C","Richards, Paul R  ","$1,779,000","3324",".192",".269",".251","36.9","89.8","10.9","42.1","85.0",".759","7.24","748.4","50.6","41.6","Ex","Fr",".194",".268",".257","83.7",".191",".269",".244","97.9","3","Vg",  
"C","Myatt, Glenn L  ","$1,760,000","12402",".227",".287",".342","57.0","47.7","13.2","22.9","473.1",".592","7.95","133.2","31.3","44.4","Fr","Fr",".231",".288",".331","53.8",".228",".288",".347","45.8","5","Vg",  
"C","Estrada, Johnny S  ","$1,759,000","5564",".256",".292",".327","52.7","135.7","23.5","21.3","1980.7",".750","16.2","457.1","24.0","33.2","Pr","Pr",".251",".284",".295","684.0",".254",".292",".335","107.6","2","Fr",  
"C, RF","Engle, Dave R  ","$1,754,000","13150",".252",".304",".358","60.9","71.5","14.3","18.1","4772.0",".176","10.1","124.5","23.5","30.9","Fr","Pr",".252",".302",".360","70.2",".250",".304",".352","74.6","3","Fr",  
"C","Schlei, Admiral R  ","$1,754,000","6818",".238",".308",".333","59.9","60.3","11.2","25.2","637.2",".324","8.01","201.2","32.8","40.9","Pr","Fr",".241",".317",".340","60.0",".239",".304",".331","59.6","5","Av",  
"C","Pena, Brayan S  ","$1,734,000","5510",".244",".285",".295","45.3","344.4","17.7","24.3","2953.5",".333","19.2","984.5","26.7","32.5","Pr","Pr",".230",".261",".265","1444.0",".250",".295",".307","282.2","3","Fr",  
"C","Scheffing, Bob R  ","$1,730,000","8379",".253",".298",".339","56.8","77.6","16.7","24.1","905.3",".476","7.91","181.1","30.5","35.0","Fr","Pr",".254",".301",".341","71.7",".253",".297",".339","80.8","4","Av",  
"3B, C, 1B","Houston, Tyler L  ","$1,713,000","14427",".256",".294",".375","61.8","43.5","19.2","23.7","815.1",".655","5.92","139.5","31.1","36.6","Fr","Pr",".236",".272",".321","69.8",".260",".298",".386","40.4","4","Pr",  
"C","Alomar, Sandy Jr R  ","$1,697,000","7832",".248",".279",".341","52.8","68.7","25.2","22.9","219.9",".585","12.3","174.1","28.4","39.4","Fr","Fr",".255",".285",".345","76.6",".242",".275",".338","63.5","3","Av",  
"C","Wilson, Dan R  ","$1,692,000","3837",".245",".294",".328","55.2","98.4","15.9","21.0","190.6",".710","7.72","233.0","25.4","41.5","Av","Fr",".264",".317",".363","74.2",".234",".282",".309","119.1","2","Av",  
"C","Berry, Charlie R  ","$1,682,000","7314",".248",".301",".344","59.5","71.7","14.6","23.0","887.6",".450","6.93","102.4","33.3","41.8","Fr","Pr",".261",".316",".369","60.9",".230",".278",".308","100.0","3","Av",  
"C, 1B","Wathan, John R  ","$1,681,000","8564",".262",".318",".337","64.1","140.4","13.5","22.8","31.2",".745","9.78","117.3","31.8","40.3","Vg","Vg",".269",".323",".360","104.2",".253",".313",".306","265.5","2","Av",  
"C","Zaun, Gregg S  ","$1,681,000","14516",".234",".319",".319","63.1","95.5","9.13","20.6","535.0",".660","10.6","209.9","26.5","52.3","Fr","Pr",".228",".317",".317","115.7",".236",".320",".320","87.5","3","Fr",  
"C","Schriver, Pop R  ","$1,679,000","7925",".236",".297",".349","60.4","53.2","13.9","20.4","796.2",".440","7.64","146.0","26.6","44.5","Fr","Fr",".238",".298",".358","47.5",".230",".293",".324","77.7","5","Av",  
"C","Bard, Josh S  ","$1,668,000","8818",".251",".315",".348","63.0","86.5","11.4","17.6","4905.0",".667","9.50","196.2","21.8","31.3","Pr","Pr",".266",".337",".375","79.5",".237",".295",".322","96.6","3","Fr",  
"C","McCullough, Clyde R  ","$1,652,000","4694",".225",".285",".320","52.1","59.4","13.6","26.7","519.4",".588","6.41","162.3","36.1","41.2","Fr","Fr",".230",".290",".329","55.4",".221",".279",".312","62.5","3","Av",  
"C","Crouse, Buck L  ","$1,630,000","18786",".224",".289",".307","51.7","60.4","12.8","32.6","229.6",".545","8.79","464.3","39.3","51.6","Fr","Fr",".208",".275",".269","88.1",".227",".291",".311","59.0","3","Vg",  
"C","Gooch, Johnny S  ","$1,629,000","12950",".225",".289",".292","48.4","110.7","12.7","28.1","180.8",".556","8.22","280.1","34.8","48.3","Av","Fr",".226",".292",".296","103.8",".224",".287",".290","114.1","4","Vg",  
"C, 3B","Barrett, Michael R  ","$1,622,000","5908",".244",".295",".355","59.8","62.9","15.0","18.2","2142.3",".375","11.5","139.7","23.0","38.7","Pr","Pr",".239",".295",".341","75.3",".248",".295",".360","60.1","4","Fr",  
"C","Castro, Ramon R  ","$1,592,000","8861",".227",".298",".371","66.0","30.2","11.0","24.8","1647.3",".600","5.25","282.4","30.6","59.9","Pr","Pr",".236",".305",".386","28.9",".215",".287",".344","34.0","2","Av",  
"1B, C, 2B, LF, RF","Doyle, Jack R  ","$1,587,000","16405",".260",".312",".349","65.8","90.6","14.5","18.7","17.3",".713","7.48","482.6","21.3","53.0","Vg","Ex",".256",".308",".351","76.4",".262",".315",".348","100.7","7","Fr",  
"C","O'Brien, Charlie R  ","$1,585,000","3674",".192",".276",".288","45.0","70.7","12.6","21.1","2081.5",".500","8.23","189.2","27.4","41.2","Pr","Pr",".180",".265",".270","67.5",".201",".283",".301","72.9","2","Vg",  
"C","Fitzgerald, Mike R  ","$1,580,000","3330",".211",".290",".295","48.7","65.3","10.1","29.7","375.1",".476","6.30","234.4","39.1","39.5","Fr","Fr",".213",".285",".289","82.0",".209",".293",".298","58.3","3","Pr",  
"C","Wilson, Jimmie R  ","$1,579,000","7757",".238",".296",".305","52.7","158.3","13.5","21.7","120.9",".530","9.02","536.6","25.2","53.0","Fr","Av",".240",".302",".301","184.9",".236",".290",".309","136.9","4","Vg",  
"C","Bando, Chris S  ","$1,574,000","4638",".213",".285",".306","48.3","61.8","10.9","26.2","1303.2",".500","8.57","173.8","35.5","30.8","Pr","Pr",".221",".293",".327","56.2",".208",".281",".294","65.6","5","Av",  
"C, 1B, 3B","Satriano, Tom L  ","$1,564,000","10992",".237",".314",".314","57.5","102.7","9.88","24.3","1237.1",".526","9.97","169.5","32.6","32.9","Pr","Pr",".212",".291",".258","259.8",".240",".317",".321","95.0","5","Fr",  
"C","DeBerry, Hank R  ","$1,560,000","7985",".228",".293",".300","51.8","103.7","12.1","25.3","181.8",".662","7.97","307.2","31.2","49.8","Fr","Fr",".240",".307",".327","71.5",".221",".286",".286","127.3","4","Fr",  
"C","Buck, John R  ","$1,551,000","10083",".227",".292",".359","61.6","36.9","12.8","23.2","3717.3",".429","5.16","144.8","31.2","52.1","Pr","Pr",".231",".299",".375","36.0",".224",".285",".345","37.9","2","Av",  
"C","Hall, Toby R  ","$1,531,000","13637",".251",".290",".326","52.2","107.4","20.7","23.0","1620.2",".375","19.5","373.9","26.3","34.1","Pr","Pr",".256",".298",".338","83.9",".247",".282",".310","166.3","3","Vg",  
"C","Gibson, George R  ","$1,530,000","3427",".215",".269",".315","48.0","65.9","14.3","22.1","342.2",".579","8.84","117.6","30.6","47.6","Av","Fr",".206",".265",".303","64.5",".223",".275",".327","65.1","3","Vg",  
"C","Parent, Mark R  ","$1,526,000","15029",".217",".277",".359","56.3","28.7","13.1","28.0","5498.0",".429","5.69","471.3","32.9","40.8","Pr","Pr",".228",".294",".382","26.4",".196",".246",".319","33.8","3","Av",  
"C","Sweeney, Jeff R  ","$1,517,000","4462",".222",".292",".298","50.6","68.6","11.9","31.2","172.0",".569","8.06","1662.7","35.6","47.5","Av","Av",".224",".296",".314","55.4",".219",".286",".279","98.3","5","Av",  
"C","Picinich, Val R  ","$1,508,000","6079",".225",".294",".348","60.2","47.9","11.3","17.5","452.7",".600","5.55","339.5","20.8","47.5","Fr","Fr",".227",".300",".350","51.1",".223",".287",".346","44.5","5","Fr",  
"C","Henline, Butch R  ","$1,501,000","5128",".224",".300",".326","57.0","50.3","11.8","25.5","223.4",".667","7.75","341.6","31.6","37.0","Fr","Fr",".228",".310",".325","55.0",".219",".290",".327","46.2","4","Fr",  
"C, LF, RF","Marrero, Eli R  ","$1,501,000","6878",".232",".282",".358","57.9","46.2","15.0","19.4","53.1",".716","7.81","113.5","25.9","39.0","Ex","Av",".243",".294",".380","42.8",".213",".259",".325","53.3","1","Av",  
"C","Josephson, Duane R  ","$1,471,000","6727",".262",".314",".348","62.1","106.8","14.6","20.4","813.9",".600","11.7","124.2","27.1","32.8","Pr","Pr",".268",".324",".359","107.4",".251",".295",".327","112.4","6","Av",  
"C","Thomas, Ira R  ","$1,470,000","3905",".231",".291",".340","57.2","53.5","14.3","22.2","392.1",".524","7.87","143.8","29.5","44.0","Fr","Fr",".234",".297",".346","53.3",".227",".284",".333","53.2","4","Av",  
"C, 1B","O'Brien, Jack R  ","$1,436,000","2317",".236",".300",".336","59.2","100.7","12.5","16.9","135.1",".613","6.61","98.7","23.1","48.4","Av","Av",".239",".308",".348","86.1",".230",".289",".317","134.1","5","Fr",  
"C","Rice, Del R  ","$1,434,000","7583",".212",".276",".313","48.9","62.2","13.4","22.5","1199.9",".539","6.37","135.5","30.5","44.9","Pr","Pr",".211",".277",".318","56.4",".209",".271",".302","68.9","3","Vg",  
"C","Reed, Jeff L  ","$1,428,000","8356",".229",".308",".307","56.9","109.9","9.87","23.2","1179.9",".571","7.91","154.7","31.6","47.2","Pr","Pr",".199",".275",".234","209.0",".233",".311",".315","104.4","3","Av",  
"C","Etchebarren, Andy R  ","$1,421,000","3188",".228",".294",".323","52.9","74.1","12.1","21.8","442.5",".667","5.60","122.1","30.3","31.6","Fr","Fr",".232",".303",".326","69.9",".222",".283",".321","79.6","2","Vg",  
"C","Hundley, Randy R  ","$1,421,000","7925",".216",".272",".307","46.2","69.5","14.2","24.1","280.3",".646","7.14","173.8","31.1","42.6","Fr","Fr",".215",".264",".293","103.3",".216",".276",".316","57.7","2","Vg",  
"C","Gedman, Rich L  ","$1,409,000","18069",".235",".280",".359","56.8","46.4","17.5","19.0","1388.4",".700","7.56","147.2","23.7","41.7","Pr","Pr",".206",".240",".290","69.6",".239",".285",".369","44.1","5","Fr",  
"C","Blackwell, Tim S  ","$1,407,000","4382",".209",".304",".282","52.8","168.5","8.57","22.4","1016.2",".833","6.39","118.2","33.2","49.3","Pr","Pr",".215",".309",".279","489.5",".208",".303",".283","141.8","3","Av",  
"C","Arencibia, J.P. R  ","$1,397,000","14097",".209",".259",".369","55.0","26.3","16.8","25.6","2173.4",".700","4.61","160.1","33.4","60.1","Pr","Pr",".214",".265",".387","24.6",".202",".251",".343","29.2","5","Av",  
"C","Bradley, Scott L  ","$1,373,000","11046",".257",".302",".326","56.1","175.3","17.0","21.1","2990.2",".308","28.6","202.7","25.8","35.8","Pr","Pr",".235",".266",".279","747.5",".260",".307",".334","156.6","5","Fr",  
"C","Oliver, Joe R  ","$1,341,000","14481",".241",".284",".356","56.8","48.9","17.7","20.3","1036.8",".556","6.85","243.0","24.0","40.3","Fr","Pr",".249",".292",".360","48.5",".233",".277",".350","49.0","4","Av",  
"C","Melvin, Bob R  ","$1,321,000","9859",".226",".267",".328","47.0","61.6","18.8","21.4","319.1",".559","6.49","164.5","26.6","36.9","Pr","Fr",".238",".283",".355","49.7",".201",".232",".268","132.3","3","Vg",  
"C","Schmidt, Walter R  ","$1,315,000","4608",".212",".264",".271","38.9","100.2","16.2","36.0","100.6",".649","10.6","1005.8","40.9","49.3","Av","Av",".203",".255",".253","109.8",".221",".271",".288","92.8","3","Vg",  
"C, 1B","Gonzalez, Mike R  ","$1,313,000","4927",".219",".285",".307","51.4","72.5","12.2","22.9","134.2",".651","8.75","423.2","27.2","52.9","Av","Av",".225",".291",".314","70.1",".216",".282",".300","79.9","4","Vg",  
"C","Girardi, Joe R  ","$1,306,000","11158",".234",".274",".275","40.0","1115.8","19.5","29.7","182.0",".641","9.69","226.7","37.2","37.9","Av","Fr",".229",".270",".265","1480.7",".236",".276",".281","886.1","4","Av",  
"C","Lamanno, Ray R  ","$1,296,000","5535",".235",".292",".306","49.5","104.4","14.7","26.0","1518.5",".571","6.84","289.2","31.6","33.2","Pr","Pr",".221",".267",".267","213.6",".241",".305",".324","82.2","3","Av",  
"C","Prince, Tom R  ","$1,292,000","9204",".178",".241",".253","28.3","96.9","16.0","24.7","298.9",".654","5.62","274.7","30.3","35.2","Fr","Fr",".170",".234",".237","116.4",".183",".244",".263","88.3","4","Ex",  
"C","Myers, Greg L  ","$1,282,000","6344",".233",".292",".331","54.2","57.7","12.9","24.6","872.9",".667","7.61","249.4","30.4","33.1","Pr","Pr",".224",".284",".285","91.2",".236",".295",".341","53.3","3","Av",  
"C","McLean, Larry R  ","$1,277,000","3743",".247",".286",".341","54.5","54.2","18.2","27.1","500.2",".471","9.39","500.2","30.8","40.4","Fr","Fr",".244",".291",".333","54.3",".248",".282",".351","52.7","4","Av",  
"C","Benedict, Bruce R  ","$1,264,000","5270",".212",".283",".247","39.5","527.0","11.4","37.4","281.2",".583","13.3","421.9","46.5","42.5","Pr","Fr",".217",".289",".253","628.6",".204",".276",".237","425.4","4","Av",  
"C, 1B, LF, CF, RF","O'Connor, Jack R  ","$1,258,000","6025",".232",".270",".309","45.7","84.9","20.4","26.1","62.2",".673","7.13","320.4","30.4","46.1","Av","Vg",".235",".275",".307","82.3",".229",".265",".310","87.5","4","Vg",  
"C","Nixon, Russ L  ","$1,246,000","8915",".257",".291",".332","52.6","217.4","22.3","19.0","2363.5",".571","10.7","121.2","24.2","32.7","Pr","Pr",".224",".251",".257",".000",".261",".296",".341","191.2","4","Fr",  
"C, 1B","Archer, Jimmy R  ","$1,238,000","2172",".227",".271",".310","46.2","90.5","18.4","22.4","157.0",".556","7.20","235.5","27.1","46.2","Fr","Av",".251",".296",".335","102.1",".207",".250",".288","82.2","4","Vg",  
"C","Pocoroba, Biff S  ","$1,218,000","7953",".244",".317",".321","59.4","117.0","10.7","20.8","557.3",".615","15.7","318.5","25.2","33.0","Pr","Pr",".194",".252",".230","1355.0",".254",".329",".340","98.5","5","Pr",  
"C","Brand, Ron R  ","$1,207,000","13633",".250",".317",".307","56.8","206.6","11.7","27.3","460.2",".550","17.3","187.5","36.2","34.0","Fr","Fr",".258",".328",".326","164.2",".232",".291",".269","373.2","6","Av",  
"C","May, Jerry R  ","$1,205,000","8244",".238",".305",".333","58.8","74.9","11.5","21.1","3050.7",".750","6.68","132.6","28.5","36.5","Pr","Pr",".251",".319",".359","66.7",".210",".277",".281","95.5","4","Av",  
"1B, C, RF","Fick, Robert L  ","$1,199,000","13346",".246",".308",".348","62.8","57.3","12.3","23.0","817.4",".643","8.86","177.3","29.5","43.0","Pr","Pr",".227",".283",".301","98.0",".251",".314",".358","54.2","8","Pr",  
"C, 1B","Pavletich, Don R  ","$1,196,000","8513",".221",".296",".344","59.2","46.3","10.4","19.3","635.7",".625","6.78","151.4","25.3","38.1","Av","Pr",".228",".305",".357","44.7",".213",".287",".332","48.0","4","Pr",  
"C","Barajas, Rod R  ","$1,189,000","3613",".231",".272",".356","56.2","38.8","19.6","23.0","1933.5",".667","8.18","241.7","27.4","63.4","Pr","Pr",".226",".268",".340","40.4",".233",".275",".366","37.9","3","Av",  
"C","Killefer, Bill R  ","$1,186,000","9304",".218",".255",".275","37.1","113.5","24.4","35.1","194.8",".593","11.1","709.7","39.6","53.4","Fr","Fr",".225",".267",".301","73.5",".214",".247",".258","171.9","2","Av",  
"C","Todd, Al R  ","$1,180,000","8256",".243",".277",".338","50.4","63.5","25.6","24.5","219.5",".597","7.74","135.1","32.3","32.6","Fr","Fr",".248",".282",".354","52.9",".235",".269",".321","77.2","2","Av",  
"C","Evans, Al R  ","$1,177,000","6992",".237",".303",".328","57.4","75.2","11.8","24.9","516.3",".469","7.20","101.9","37.8","39.1","Fr","Fr",".231",".298",".321","69.4",".241",".306",".333","78.8","4","Av",  
"C, 2B, 3B, SS, LF, CF, RF","Miller, Doggie R  ","$1,165,000","3716",".230",".291",".302","49.7","80.8","13.2","30.2","44.7",".580","10.5","508.6","35.4","48.4","Av","Vg",".228",".290",".305","70.1",".232",".291",".301","93.2","4","Av",  
"C","Montgomery, Bob R  ","$1,165,000","6683",".241",".282",".333","52.0","81.5","19.8","22.1","596.6",".600","4.97","108.5","30.2","40.9","Pr","Pr",".247",".287",".337","82.7",".236",".277",".329","80.4","3","Fr",  
"C, 3B","Trevino, Alex R  ","$1,165,000","9981",".244",".301",".325","55.0","131.3","14.1","19.3","341.8",".653","9.19","165.7","24.2","32.2","Fr","Fr",".258",".314",".351","107.9",".224",".283",".289","176.5","4","Vg",  
"C","Hundley, Nick R  ","$1,161,000","3129",".238",".289",".359","59.3","46.0","15.2","20.3","226.3",".556","5.80","154.3","25.7","47.1","Fr","Fr",".240",".288",".337","69.0",".237",".289",".371","39.5","3","Fr",  
"C","Borders, Pat R  ","$1,148,000","11130",".246",".281",".338","51.9","87.0","21.4","19.9","514.9",".719","7.77","149.9","24.6","34.6","Fr","Pr",".253",".287",".350","82.0",".242",".277",".329","87.2","4","Av",  
"C","Cerone, Rick R  ","$1,126,000","6838",".234",".293",".326","54.6","83.4","13.4","20.6","750.7",".556","10.1","156.4","26.4","38.5","Pr","Pr",".240",".299",".336","74.8",".226",".283",".310","102.0","4","Vg",  
"C, 1B","Kerins, John R  ","$1,123,000","3133",".230",".291",".337","56.2","55.0","12.8","24.7","132.5",".634","6.86","88.3","39.1","42.5","Av","Av",".231",".303",".345","46.4",".229",".279",".330","66.8","5","Fr",  
"C, LF","Perkins, Bill R  ","$1,122,000","13200",".225",".277",".331","49.3","39.5","15.4","35.2","2039.6",".778","6.00","594.9","40.7","31.1","Pr","Pr",".231",".282",".351","34.1",".219",".271",".314","45.0","3","Av",  
"C","Brown, Dick R  ","$1,120,000","5618",".249",".290",".365","59.2","40.1","19.1","26.6","6017.0",".111","6.24","300.9","31.5","38.1","Pr","Pr",".258",".303",".377","38.2",".234",".268",".344","43.9","3","Av",  
"C","Smith, Hal R. R  ","$1,113,000","11376",".243",".280",".312","47.5","137.1","20.3","24.5","757.9",".696","12.8","178.3","30.6","34.9","Pr","Pr",".247",".287",".323","119.5",".241",".276",".304","156.6","3","Vg",  
"C","Tebbetts, Birdie R  ","$1,102,000","7380",".234",".292",".291","48.2","144.7","13.7","29.3","165.0",".671","8.89","475.5","34.4","41.2","Fr","Fr",".240",".299",".293","144.2",".228",".285",".289","145.2","3","Vg",  
