"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"1B, 3B","Jordan, Buck L  ","$3,720,000","16306",".275",".322",".384","72.8","70.6","15.9","Av","17803",".663",".725","2","","Av/100","","Fr/92","","","","","&nbsp;","Fr","Normal",".310",".327",  
"RF, LF, CF","Denorfia, Chris R  ","$3,715,000","6081",".274",".332",".369","72.4","98.1","12.6","Av","6717",".703",".697","-1","","","","","","Av/86","Av/86","Av/86","Vg","Av","Prone",".334",".329",  
"DH, 1B","Jefferson, Reggie L  ","$3,715,000","13457",".274",".315",".411","73.4","41.9","17.9","Pr","14445",".544",".760","5","","Fr/178","","","","","","","&nbsp;","Pr","Fragile",".250",".327",  
"2B","Stennett, Rennie R  ","$3,711,000","12341",".260",".293",".333","55.2","176.3","22.3","Vg","13096",".663",".598","-1","","","Vg/98","","","","","","&nbsp;","Av","Normal",".305",".284",  
"LF, RF","Murphy, David L  ","$3,709,000","10925",".272",".328",".384","75.1","63.2","12.8","Av","11998",".644",".742","3","","","","","","Av/71","","Av/71","Av","Av","Normal",".305",".338",  
"CF, RF","Brodie, Steve L  ","$3,706,000","10277",".249",".303",".333","58.9","78.5","17.1","Av","11187",".622",".643","1","","","","","","","Vg/54","Vg/54","Av","Vg","Normal",".300",".305",  
"3B","Cirillo, Jeff R  ","$3,704,000","9341",".261",".329",".349","68.6","128.0","11.6","Av","10444",".713",".658","-1","","","","Av/71","","","","","&nbsp;","Fr","Prone",".343",".319",  
"SS, 3B","Jurges, Billy R  ","$3,704,000","10253",".233",".301",".305","52.7","116.5","12.0","Av","11506",".641",".587","-1","","","","Vg/72","Vg/72","","","","&nbsp;","Fr","Prone",".318",".292",  
"SS, 3B","Cozart, Zack R  ","$3,703,000","5263",".237",".290",".329","55.3","109.6","14.8","Av","5739",".662",".598","-1","","","","Fr/103","Vg/77","","","","&nbsp;","Pr","Fragile",".300",".286",  
"CF, LF","Rasmus, Colby L  ","$3,698,000","10328",".245",".312",".406","76.4","28.7","11.3","Vg","11475",".649",".743","2","","","","","","Av/109","Av/109","","Vg","Fr","Fragile",".288",".320",  
"C","Duncan, Frank R  ","$3,696,000","23285",".218",".273",".288","44.4","106.8","14.7","Fr","25722",".583",".548","-1","Ex/84","","","","","","","","&nbsp;","Fr","Normal",".282",".267",  
"3B, 2B","Callaspo, Alberto S  ","$3,694,000","16623",".265",".332",".336","67.1","137.4","10.6","Av","18567",".682",".655","-1","","","Fr/147","Av/87","","","","","&nbsp;","Fr","Prone",".339",".326",  
"RF, 2B, LF, CF","Lacy, Lee R  ","$3,694,000","11343",".269",".323",".375","72.2","70.5","13.8","Vg","12415",".704",".690","-1","","","Fr/165","","","Av/84","Fr/84","Av/84","Av","Vg","Prone",".325",".321",  
"2B","Bernazard, Tony S  ","$3,693,000","27565",".248",".319",".351","68.4","71.2","10.7","Vg","31075",".635",".688","0","","","Av/117","","","","","","&nbsp;","Av","Normal",".307",".325",  
"SS, 2B","Perez, Neifi S  ","$3,689,000","20081",".239",".268",".293","43.6","743.7","25.7","Vg","21343",".578",".552","-1","","","Vg/74","","Vg/78","","","","&nbsp;","Fr","Normal",".275",".264",  
"C, 1B","Vogt, Stephen L  ","$3,684,000","2416",".231",".296",".342","62.1","54.9","11.6","Fr","2669",".596",".638","2","Fr/94","Fr/91","","","","","","","&nbsp;","Pr","Prone",".265",".299",  
"LF, CF, RF","Evers, Hoot R  ","$3,680,000","8298",".257",".313",".382","70.1","49.1","13.9","Av","9154",".711",".689","-1","","","","","","Vg/77","Av/77","Vg/77","Av","Fr","Prone",".316",".312",  
"SS","Metzger, Roger S  ","$3,677,000","14862",".225",".282",".284","46.3","337.8","13.7","Vg","16334",".573",".563","1","","","","","Vg/69","","","","&nbsp;","Av","Normal",".285",".280",  
"3B, 1B","Hollins, Dave S  ","$3,675,000","14676",".246",".345",".378","80.8","38.1","8.13","Ex","17098",".795",".658","-3","","Av/151","","Fr/136","","","","","&nbsp;","Fr","Fragile",".371",".321",  
"C","Pagliaroni, Jim R  ","$3,672,000","8062",".235",".320",".370","70.9","34.6","9.19","Fr","9189",".778",".642","-1","Av/78","","","","","","","","&nbsp;","Pr","Prone",".350",".304",  
"2B, 1B, 3B, SS","Keppinger, Jeff R  ","$3,668,000","13907",".273",".323",".349","65.7","118.9","14.7","Fr","15201",".749",".605","-3","","Fr/87","Fr/63","Fr/81","Pr/63","","","","&nbsp;","Pr","Prone",".353",".297",  
"RF","Sebring, Jimmy L  ","$3,668,000","16257",".248",".300",".372","64.9","54.0","14.2","Ex","17720",".633",".686","1","","","","","","","","Av/106","Ex","Fr","Prone",".289",".304",  
"3B","Gomez, Leo R  ","$3,665,000","16317",".230",".319",".380","73.1","32.1","9.16","Pr","18687",".722",".685","-1","","","","Fr/76","","","","","&nbsp;","Pr","Prone",".327",".314",  
"LF, 1B, CF, RF","James, Dion L  ","$3,664,000","6022",".273",".347",".357","76.2","150.6","9.79","Av","6796",".662",".716","1","","Fr/113","","","","Fr/79","Fr/79","Fr/79","Av","Fr","Normal",".330",".352",  
"LF, 1B, CF, RF","Gross, Greg L  ","$3,662,000","24128",".273",".353",".331","74.1","389.2","9.09","Av","27520",".642",".703","2","","Fr/111","","","","Fr/86","Fr/86","Fr/86","Av","Fr","Normal",".338",".360",  
"2B","Herr, Tom S  ","$3,660,000","13526",".259",".338",".328","69.1","201.9","9.58","Vg","15416",".631",".681","0","","","Fr/57","","","","","","&nbsp;","Av","Prone",".326",".343",  
"CF, 1B, 2B, SS, LF, RF","Hofman, Solly R  ","$3,658,000","8103",".244",".313",".355","66.8","55.9","11.1","Av","9063",".651",".673","-1","","Av/134","Fr/95","","Pr/118","Vg/84","Vg/84","Vg/84","Av","Vg","Prone",".313",".314",  
"C","Mirabelli, Doug R  ","$3,658,000","13882",".229",".320",".383","73.8","31.3","8.72","Pr","15928",".777",".595","-3","Av/87","","","","","","","","&nbsp;","Pr","Normal",".348",".280",  
"DH, 1B","Butler, Billy R  ","$3,656,000","11039",".280",".342",".389","76.5","59.0","11.7","Pr","12194",".729",".729","-2","","Pr/137","","","","","","","&nbsp;","Pr","Normal",".346",".338",  
"LF","Reimer, Kevin L  ","$3,652,000","14625",".259",".316",".414","76.3","34.1","14.3","Fr","16040",".643",".747","3","","","","","","Fr/305","","","Pr","Pr","Normal",".280",".322",  
"LF, 2B, 3B, CF, RF","Santangelo, F.P. S  ","$3,650,000","36780",".227",".335",".290","65.4","266.5","9.15","Av","43447",".615",".633","-1","","","Av/99","Av/112","","Vg/59","Av/59","Vg/59","Fr","Fr","Normal",".332",".338",  
"3B, 1B","Hannahan, Jack L  ","$3,646,000","4014",".228",".311",".306","58.4","148.7","9.42","Fr","4558",".621",".622","0","","Av/184","","Vg/76","","","","","&nbsp;","Pr","Normal",".310",".314",  
"1B","Brogna, Rico L  ","$3,644,000","10005",".243",".292",".376","62.9","42.4","15.3","Fr","10830",".507",".699","3","","Vg/66","","","","","","","&nbsp;","Fr","Normal",".233",".303",  
"SS, 2B, 3B","Fletcher, Scott R  ","$3,642,000","9727",".246",".314",".304","59.1","748.2","11.8","Av","10894",".632",".606","-1","","","Vg/57","Fr/124","Av/90","","","","&nbsp;","Av","Prone",".323",".307",  
"CF, 1B, SS, LF, RF","Stanley, Mickey R  ","$3,630,000","10966",".243",".294",".354","60.9","62.7","14.6","Vg","11934",".698",".604","-2","","Av/98","","","Fr/114","Vg/46","Vg/46","Vg/46","Av","Fr","Prone",".312",".278",  
"3B","Riggs, Lew L  ","$3,622,000","11871",".237",".297",".365","64.5","47.5","13.4","Av","13090",".614",".677","1","","","","Vg/103","","","","","&nbsp;","Fr","Normal",".282",".302",  
"C","Hendricks, Ellie L  ","$3,621,000","14727",".226",".302",".380","69.8","30.5","10.5","Pr","16499",".484",".707","5","Av/77","","","","","","","","&nbsp;","Pr","Prone",".236",".310",  
"2B, 3B","Green, Dick R  ","$3,618,000","16754",".239",".296",".333","57.2","75.1","14.3","Av","18463",".634",".620","0","","","Vg/77","Av/125","","","","","&nbsp;","Fr","Prone",".298",".293",  
"CF","Kreevich, Mike R  ","$3,616,000","8475",".254",".310",".346","63.4","92.1","13.8","Vg","9412",".706",".624","-1","","","","","","","Vg/65","","Av","Av","Prone",".321",".303",  
"LF","Lewis, Duffy R  ","$3,612,000","8175",".263",".309",".390","68.9","48.7","16.6","Av","8872",".723",".679","-1","","","","","","Av/95","","","Vg","Av","Normal",".315",".304",  
"3B, LF, CF, RF","Brosius, Scott R  ","$3,603,000","10613",".237",".300",".358","62.9","44.2","12.8","Av","11718",".692",".637","-1","","","","Vg/87","","Fr/101","Pr/101","Fr/101","Fr","Fr","Fragile",".311",".294",  
"LF, CF, RF","Byrnes, Eric R  ","$3,598,000","13713",".258",".320",".400","77.7","42.2","12.1","Vg","15196",".741",".662","-2","","","","","","Av/89","Fr/89","Av/89","Av","Av","Prone",".326",".303",  
"SS, 2B","Russell, Addison R  ","$3,594,000","13862",".240",".308",".337","62.4","73.7","11.7","Av","15413",".644",".646","0","","","Vg/101","","Vg/114","","","","&nbsp;","Fr","Fragile",".307",".309",  
"LF, CF, RF","Hall, Mel L  ","$3,588,000","8851",".262",".305",".399","71.7","39.7","17.1","Av","9509",".525",".733","4","","","","","","Av/94","Fr/94","Av/94","Av","Fr","Prone",".240",".315",  
"C","Salas, Mark L  ","$3,583,000","20192",".247",".298",".365","64.1","45.3","15.7","Fr","21995",".570",".676","1","Fr/112","","","","","","","","&nbsp;","Pr","Normal",".273",".302",  
"RF, 1B, LF, CF","McCreery, Tom S  ","$3,582,000","22120",".255",".327",".396","76.9","45.3","10.2","Fr","24959",".702",".743","0","","Fr/112","","","","Av/153","Fr/153","Av/153","Fr","Vg","Normal",".323",".333",  
"LF, 1B","Smith, Willie L  ","$3,582,000","14961",".258",".305",".408","72.6","37.4","15.6","Ex","16217",".478",".729","6","","Fr/72","","","","Fr/117","","","Av","Av","Normal",".232",".310",  
"1B, LF, RF","Pearce, Steve R  ","$3,580,000","5025",".261",".335",".401","80.3","38.1","10.2","Fr","5676",".773",".701","-2","","Av/108","","","","Av/101","","Fr/101","Av","Fr","Fragile",".350",".320",  
"2B, 3B, SS, LF, CF","Lowe, Bobby R  ","$3,578,000","9457",".247",".297",".347","60.3","49.5","15.3","Av","10367",".665",".628","-1","","","Vg/81","Av/83","Fr/103","Av/79","Fr/79","","Fr","Vg","Normal",".310",".290",  
"2B, 3B, SS","O'Connell, Danny R  ","$3,576,000","17020",".248",".317",".311","60.6","218.2","11.2","Av","19090",".637",".622","-1","","","Vg/83","Vg/89","Av/91","","","","&nbsp;","Fr","Normal",".320",".316",  
"1B, LF","Morris, Hal L  ","$3,575,000","8099",".281",".335",".366","72.1","135.0","13.2","Av","8885",".548",".730","4","","Av/84","","","","Fr/116","","","Fr","Fr","Fragile",".271",".347",  
"1B, LF","Sorrento, Paul L  ","$3,570,000","28523",".247",".322",".422","79.8","25.4","10.1","Pr","32044",".551",".762","3","","Fr/85","","","","Fr/199","","","Av","Pr","Normal",".267",".327",  
"3B, 1B","Gross, Wayne L  ","$3,563,000","12984",".236",".331",".388","80.9","30.5","8.22","Fr","15020",".564",".746","3","","Av/131","","Fr/126","","","","","&nbsp;","Fr","Normal",".279",".340",  
"LF","Charboneau, Joe R  ","$3,560,000","12457",".252",".326",".427","77.8","26.6","10.4","Fr","14027",".804",".686","-2","","","","","","Pr/195","","","Av","Fr","Normal",".345",".301",  
"SS, 2B","Miller, Eddie R  ","$3,559,000","10060",".220",".269",".341","51.2","44.9","17.6","Av","10932",".607",".613","0","","","Av/84","","Vg/62","","","","&nbsp;","Av","Prone",".266",".272",  
"C","McFarland, Ed R  ","$3,558,000","12465",".252",".317",".373","70.3","59.6","11.4","Av","13923",".699",".684","-1","Av/83","","","","","","","","&nbsp;","Av","Normal",".320",".316",  
"RF, CF","Wolter, Harry L  ","$3,553,000","13219",".245",".337",".375","78.4","47.6","8.27","Av","15332",".699",".719","1","","","","","","","Fr/130","Fr/130","Av","Vg","Prone",".331",".340",  
"CF, LF, RF","Lindell, Johnny R  ","$3,551,000","12482",".251",".312",".403","71.0","37.7","12.8","Av","13772",".733",".699","-2","","","","","","Av/89","Av/89","Av/89","Av","Fr","Normal",".316",".308",  
"CF, LF, RF","Haas, Mule L  ","$3,549,000","11906",".253",".311",".334","62.3","100.9","13.4","Av","13312",".619",".655","1","","","","","","Vg/51","Vg/51","Vg/51","Fr","Pr","Prone",".305",".313",  
"RF, LF","Roberts, Leon R  ","$3,549,000","18288",".253",".319",".373","70.4","53.5","12.0","Av","20329",".739",".663","-1","","","","","","Av/91","","Av/91","Vg","Fr","Normal",".332",".311",  
"SS","Guillen, Ozzie L  ","$3,540,000","17824",".251",".269",".297","44.8","1048.5","40.0","Vg","18731",".532",".585","2","","","","","Vg/88","","","","&nbsp;","Vg","Normal",".250",".279",  
"2B, SS","Green, Pumpsie S  ","$3,537,000","52748",".229",".337",".330","71.3","83.2","7.20","Vg","62032",".732",".606","-2","","","Av/111","","Fr/143","","","","&nbsp;","Fr","Normal",".358",".317",  
"RF, 1B, SS, LF","Hinchman, Bill R  ","$3,532,000","4058",".256",".331",".413","81.3","39.0","10.2","Av","4595",".736",".761","-1","","Fr/188","","","Pr/150","Av/110","","Av/110","Fr","Av","Prone",".327",".340",  
"2B, 3B, SS","Fuentes, Tito S  ","$3,530,000","22803",".259",".299",".327","57.6","165.2","19.5","Vg","24747",".632",".624","-1","","","Vg/115","Av/124","Fr/130","","","","&nbsp;","Fr","Normal",".301",".298",  
"SS, 1B, LF, CF","Desmond, Ian R  ","$3,529,000","17723",".249",".307",".369","66.1","47.5","13.4","Vg","19466",".731",".639","-2","","Fr/78","","","Av/139","Fr/205","Fr/205","","Vg","Vg","Normal",".329",".292",  
"2B, 3B","Ward, Aaron R  ","$3,528,000","9156",".225",".286",".326","54.0","56.9","13.5","Av","10190",".644",".591","-1","","","Av/79","Vg/61","","","","","&nbsp;","Fr","Normal",".302",".276",  
"1B","Virtue, Jake S  ","$3,527,000","7842",".245",".334",".349","71.4","88.1","8.40","Av","9018",".678",".686","0","","Av/98","","","","","","","&nbsp;","Av","Normal",".330",".336",  
"C, 1B","Schreckengost, Ossee R  ","$3,523,000","12365",".252",".292",".350","58.5","68.3","18.7","Av","13233",".671",".622","-1","Ex/81","Fr/120","","","","","","","&nbsp;","Av","Normal",".302",".285",  
"CF, LF, RF","Cotto, Henry R  ","$3,520,000","7807",".248",".285",".330","56.3","81.3","21.2","Vg","8333",".608",".619","-1","","","","","","Vg/57","Vg/57","Vg/57","Av","Ex","Normal",".287",".284",  
"LF, 1B, RF","Rodriguez, Henry L  ","$3,520,000","33284",".236",".297",".415","72.5","24.4","12.5","Pr","36597",".594",".731","2","","Fr/105","","","","Fr/101","","Fr/101","Av","Fr","Prone",".257",".303",  
"CF, RF","Lagares, Juan R  ","$3,517,000","4101",".257",".301",".332","57.7","195.3","17.5","Vg","4407",".660",".598","-1","","","","","","","Vg/92","Vg/92","Vg","Av","Prone",".315",".290",  
"2B, SS","Matsui, Kazuo S  ","$3,513,000","9152",".247",".300",".315","59.7","228.8","14.4","Vg","10092",".593",".626","0","","","Vg/89","","Av/163","","","","&nbsp;","Vg","Fragile",".291",".304",  
"C","Pratt, Todd R  ","$3,511,000","10254",".249",".339",".375","77.3","45.4","8.69","Pr","11798",".791",".621","-3","Av/76","","","","","","","","&nbsp;","Pr","Normal",".364",".309",  
"C","Zunino, Mike R  ","$3,510,000","4171",".219",".289",".384","64.3","27.1","12.3","Fr","4631",".662",".665","-1","Av/75","","","","","","","","&nbsp;","Pr","Prone",".286",".288",  
"RF","Demmitt, Ray L  ","$3,509,000","2163",".258",".329",".401","77.3","49.2","11.0","Av","2435",".741",".729","1","","","","","","","","Fr/151","Av","Av","Normal",".323",".329",  
"2B","Barney, Darwin R  ","$3,506,000","17114",".244",".294",".306","51.2","234.4","15.9","Vg","18659",".623",".585","-1","","","Vg/72","","","","","","&nbsp;","Fr","Normal",".302",".290",  
"3B, 2B, SS","Cox, Billy R  ","$3,505,000","9475",".252",".298",".347","60.0","89.4","16.5","Av","10301",".665",".635","1","","","Av/103","Vg/71","Av/115","","","","&nbsp;","Fr","Normal",".309",".292",  
"2B, 1B, 3B, LF","Dietrich, Derek L  ","$3,496,000","1576",".220",".294",".346","61.7","40.4","15.1","Av","1763",".529",".717","2","","Av/175","Fr/103","Pr/121","","Pr/85","","","Pr","Pr","Prone",".246",".326",  
"RF, LF, CF","Swanson, Evar R  ","$3,495,000","13566",".269",".345",".350","75.5","105.2","9.99","Ex","15527",".719",".646","-4","","","","","","Av/96","Av/96","Av/96","Fr","Vg","Prone",".354",".326",  
"C, 1B, 3B","Leyritz, Jim R  ","$3,484,000","11438",".245",".335",".373","75.5","38.8","9.65","Pr","13155",".712",".706","-1","Fr/53","Fr/118","","Fr/172","","","","","&nbsp;","Pr","Normal",".337",".334",  
"1B, 3B, LF","Esasky, Nick R  ","$3,482,000","14560",".233",".311",".408","75.4","26.1","10.1","Fr","16392",".769",".677","-1","","Av/80","","Fr/136","","Fr/70","","","Fr","Fr","Prone",".326",".298",  
"CF, LF, RF","Leibold, Nemo L  ","$3,482,000","20868",".244",".332",".342","69.6","58.0","8.66","Av","24012",".533",".700","2","","","","","","Av/98","Av/98","Av/98","Ex","Av","Normal",".292",".339",  
"1B","O'Brien, Pete L  ","$3,477,000","10806",".252",".321",".381","73.0","41.7","10.8","Pr","12061",".614",".723","2","","Vg/76","","","","","","","&nbsp;","Fr","Normal",".289",".328",  
"SS, 2B, 3B","Lanier, Hal R  ","$3,474,000","25024",".216",".248",".253","28.7","1390.2","25.2","Av","26527",".539",".477","-1","","","Ex/69","Av/101","Ex/81","","","","&nbsp;","Pr","Normal",".265",".238",  
"3B, 2B","Randa, Joe R  ","$3,470,000","11720",".264",".318",".357","66.9","106.5","14.2","Fr","12863",".657",".684","0","","","Fr/51","Av/76","","","","","&nbsp;","Fr","Prone",".315",".319",  
"CF, LF, RF","Bell, Gus L  ","$3,468,000","8043",".243",".291",".356","60.5","51.2","16.3","Av","8729",".572",".694","3","","","","","","Av/68","Av/68","Av/68","Vg","Fr","Normal",".262",".309",  
"2B","Stringer, Lou R  ","$3,468,000","15909",".242",".308",".367","66.8","43.2","11.7","Vg","17751",".602",".707","2","","","Vg/126","","","","","","&nbsp;","Pr","Prone",".285",".318",  
"SP, 3B, LF, RF","Callahan, Nixey R  ","$3,467,000","4538",".262",".306",".361","66.2","63.9","16.2","Fr","4915",".695",".640","-1","","","","Fr/136","","Av/122","","Av/122","Fr","Vg","Normal",".315",".296",  
"LF","Moore, Jo-Jo L  ","$3,462,000","15759",".282",".334",".371","76.1","129.2","14.6","Av","17306",".645",".719","1","","","","","","Fr/99","","","Av","Fr","Normal",".311",".340",  
"1B","Brock, Greg L  ","$3,457,000","8008",".251",".329",".399","79.4","34.1","9.62","Fr","9054",".602",".746","2","","Av/79","","","","","","","&nbsp;","Fr","Prone",".283",".336",  
"RF, LF","Dellucci, Dave L  ","$3,454,000","19187",".246",".330",".383","76.8","40.5","9.29","Av","21876",".458",".737","5","","","","","","Av/78","","Av/78","Fr","Fr","Prone",".238",".339",  
"2B, 3B","Ryan, Connie R  ","$3,454,000","3364",".225",".306",".312","57.5","96.1","9.71","Vg","3807",".615",".620","-1","","","Av/110","Av/79","","","","","&nbsp;","Fr","Normal",".305",".307",  
"LF, 1B, CF, RF","Francona, Tito L  ","$3,453,000","8493",".268",".334",".384","77.2","58.2","11.2","Av","9493",".557",".741","2","","Av/113","","","","Fr/75","Pr/75","Fr/75","Fr","Fr","Normal",".270",".343",  
"SS, 2B, 3B","Benjamin, Mike R  ","$3,452,000","13696",".217",".256",".290","39.7","195.7","23.1","Av","14747",".574",".533","-2","","","Ex/25","Ex/77","Ex/61","","","","&nbsp;","Av","Prone",".267",".250",  
"3B, 2B, SS, RF","DeRosa, Mark R  ","$3,451,000","16592",".258",".335",".370","73.8","57.6","10.1","Av","18782",".767",".616","-2","","","Av/108","Av/107","Fr/92","","","Fr/32","Av","Fr","Fragile",".358",".302",  
"RF, LF","Lahoud, Joe L  ","$3,447,000","9839",".222",".322",".386","77.1","27.6","7.82","Fr","11447",".663",".714","3","","","","","","Fr/110","","Fr/110","Fr","Fr","Normal",".296",".326",  
"C","Castillo, Welington R  ","$3,443,000","13208",".256",".316",".385","69.6","36.7","13.3","Pr","14533",".760",".650","-2","Av/133","","","","","","","","&nbsp;","Pr","Prone",".338",".297",  
"1B","Alonso, Yonder L  ","$3,442,000","11505",".264",".340",".382","78.4","47.9","9.49","Fr","13012",".640",".738","2","","Av/101","","","","","","","&nbsp;","Pr","Prone",".314",".345",  
"1B","Crowe, George L  ","$3,440,000","9984",".251",".316",".412","77.5","27.7","11.7","Pr","11058",".601",".752","3","","Fr/107","","","","","","","&nbsp;","Pr","Normal",".269",".325",  
"2B, 3B, SS","Grebeck, Craig R  ","$3,437,000","15698",".247",".317",".311","60.1","334.0","11.1","Av","17720",".622",".631","0","","","Vg/96","Vg/102","Av/96","","","","&nbsp;","Pr","Prone",".314",".319",  
"2B, 3B, SS, LF, CF","Mantilla, Felix R  ","$3,437,000","24611",".248",".317",".365","67.9","43.1","11.7","Av","27360",".723",".651","-1","","","Fr/98","Av/122","Fr/130","Fr/112","Pr/112","","Fr","Fr","Normal",".332",".305",  
"CF, LF","Green, Lenny L  ","$3,430,000","8375",".258",".335",".343","72.8","123.2","10.1","Vg","9480",".647",".690","0","","","","","","Av/77","Av/77","","Fr","Av","Normal",".326",".338",  
"SP, 1B","Mitchell, Clarence L  ","$3,428,000","1451",".225",".266",".284","38.7","85.4","19.0","Fr","1558",".485",".576","3","","Fr/111","","","","","","","&nbsp;","Fr","Normal",".240",".278",  
"2B, LF, RF","Orta, Jorge L  ","$3,423,000","9212",".261",".320",".380","71.6","50.6","12.7","Av","10167",".560",".732","3","","","Pr/114","","","Av/99","","Av/99","Fr","Fr","Normal",".272",".331",  
"C","Carrigan, Bill R  ","$3,422,000","9053",".246",".318",".344","65.0","54.2","10.8","Av","10137",".687",".643","-1","Av/87","","","","","","","","&nbsp;","Av","Normal",".325",".312",  
"2B, 3B","Kennedy, Adam L  ","$3,419,000","8497",".261",".312",".338","64.1","166.6","15.6","Av","9273",".585",".665","2","","","Vg/101","Av/115","","","","","&nbsp;","Av","Prone",".284",".319",  
"3B, 1B","Reynolds, Mark R  ","$3,419,000","6190",".223",".309",".389","71.6","24.6","9.16","Av","7038",".700",".703","0","","Fr/114","","Fr/158","","","","","&nbsp;","Fr","Normal",".309",".313",  
"SS, 2B","Maxvill, Dal R  ","$3,418,000","19571",".206",".280",".249","39.2","391.4","10.9","Fr","21985",".540",".522","-1","","","Vg/88","","Ex/76","","","","&nbsp;","Pr","Prone",".286",".276",  
"LF, 1B, 2B, 3B, CF, RF","Whitted, Possum R  ","$3,412,000","8253",".246",".294",".354","59.8","61.6","16.1","Vg","9000",".655",".642","-1","","Fr/136","Av/121","Av/93","","Vg/70","Av/70","Vg/70","Fr","Vg","Normal",".297",".290",  
"RF, LF, CF","Washington, Claudell L  ","$3,411,000","6483",".256",".307",".377","65.9","52.7","15.3","Vg","7022",".567",".704","2","","","","","","Av/143","Fr/143","Av/143","Av","Vg","Prone",".266",".314",  
"1B","Hoblitzel, Dick L  ","$3,408,000","10553",".267",".321",".387","73.0","55.3","13.9","Av","11593",".627",".726","1","","Av/98","","","","","","","&nbsp;","Vg","Normal",".298",".326",  
"1B","Merkle, Fred R  ","$3,407,000","10761",".268",".319",".397","74.6","48.5","14.8","Vg","11800",".734",".705","-1","","Av/115","","","","","","","&nbsp;","Vg","Normal",".327",".314",  
"LF, RF","Falk, Bibb L  ","$3,403,000","13054",".265",".315",".389","72.0","47.8","14.3","Av","14309",".678",".715","3","","","","","","Fr/98","","Fr/98","Av","Fr","Normal",".298",".322",  
"SS, 2B","Wagner, Heinie R  ","$3,399,000","21751",".238",".305",".347","62.4","58.3","11.7","Av","24274",".679",".633","-1","","","Av/142","","Av/99","","","","&nbsp;","Vg","Normal",".316",".297",  
"SP, CF, RF","Whitney, Jim L  ","$3,398,000","1862",".245",".319",".357","68.4","64.2","10.4","Pr","2094",".550",".711","1","","","","","","","Pr/126","Fr/126","Fr","Fr","Normal",".281",".329",  
"C","Ellis, A.J. R  ","$3,397,000","5110",".234",".327",".317","62.0","98.3","8.63","Pr","5917",".673",".618","-1","Av/42","","","","","","","","&nbsp;","Pr","Prone",".333",".321",  
"RF, LF","Bichette, Dante R  ","$3,392,000","32166",".260",".299",".396","67.1","41.5","19.1","Fr","34390",".751",".659","-1","","","","","","Av/137","","Av/137","Av","Av","Normal",".318",".287",  
"1B","Jacobs, Mike L  ","$3,391,000","21124",".243",".303",".423","73.9","23.3","12.6","Pr","23201",".492",".752","3","","Fr/148","","","","","","","&nbsp;","Pr","Normal",".226",".311",  
"DH, 1B, LF, RF","Crowley, Terry L  ","$3,389,000","8720",".245",".336",".369","74.7","38.2","8.38","Fr","10036",".480",".733","5","","Fr/123","","","","Fr/114","","Fr/114","Fr","Pr","Normal",".252",".346",  
"2B, SS","Seay, Dick R  ","$3,382,000","22988",".228",".278",".276","42.0","294.7","16.5","Av","25204",".590",".528","-1","","","Ex/74","","Vg/125","","","","&nbsp;","Fr","Normal",".288",".270",  
"3B, 1B, LF, RF","Hinske, Eric L  ","$3,381,000","13902",".238",".317",".374","70.5","43.6","9.66","Av","15669",".614",".712","2","","Av/131","","Fr/98","","Fr/49","","Fr/49","Av","Fr","Normal",".292",".324",  
"RF, 1B, LF, CF","Dwyer, Jim L  ","$3,380,000","8825",".256",".339",".385","80.5","43.0","9.11","Av","10069",".653",".739","2","","Fr/187","","","","Fr/108","Fr/108","Fr/108","Fr","Fr","Normal",".317",".344",  
"SS, 2B","Kessinger, Don S  ","$3,380,000","17353",".237",".296",".287","51.4","1156.9","13.2","Vg","19328",".559",".598","1","","","Av/143","","Vg/90","","","","&nbsp;","Fr","Normal",".285",".303",  
"RF, CF","Pilarcik, Al L  ","$3,378,000","10714",".257",".328",".344","70.1","82.4","11.0","Vg","12065",".600",".682","2","","","","","","","Av/69","Av/69","Av","Av","Normal",".300",".332",  
"3B, RF","Chisenhall, Lonnie L  ","$3,375,000","2844",".259",".312",".375","69.5","76.9","14.0","Av","3102",".637",".730","1","","","","Av/131","","","","Vg/81","Fr","Fr","Prone",".295",".325",  
"2B","Reynolds, Harold S  ","$3,373,000","30354",".242",".310",".298","57.2","843.2","11.5","Vg","34171",".614",".607","0","","","Vg/113","","","","","","&nbsp;","Ex","Normal",".316",".308",  
"CF, LF, RF","Dyson, Jarrod L  ","$3,370,000","5680",".249",".313",".298","62.8","1420.0","12.0","Ex","6326",".602",".617","1","","","","","","Vg/116","Vg/116","Vg/116","Av","Ex","Prone",".308",".316",  
"3B, 1B","Feliz, Pedro R  ","$3,370,000","12745",".239",".276",".361","55.4","41.8","20.3","Fr","13568",".676",".612","-1","","Av/154","","Vg/80","","","","","&nbsp;","Pr","Normal",".293",".265",  
"C","Rodriguez, Ellie R  ","$3,369,000","14482",".246",".340",".313","66.5","160.9","9.26","Fr","16808",".688",".631","-1","Av/77","","","","","","","","&nbsp;","Fr","Prone",".353",".332",  
"SS, 2B","Galvis, Freddy S  ","$3,366,000","2911",".234",".281",".308","49.3","132.3","16.3","Av","3161",".555",".609","0","","","Vg/44","","Av/60","","","","&nbsp;","Fr","Prone",".271",".287",  
